token: begin	lexical unit: BEG
token: read	lexical unit: READ
token: (	lexical unit: LEFT_PARENTHESIS
token: a	lexical unit: VARNAME
token: )	lexical unit: RIGHT_PARENTHESIS
token: ;	lexical unit: SEMICOLON
token: read	lexical unit: READ
token: (	lexical unit: LEFT_PARENTHESIS
token: b	lexical unit: VARNAME
token: )	lexical unit: RIGHT_PARENTHESIS
token: ;	lexical unit: SEMICOLON
token: while	lexical unit: WHILE
token: b	lexical unit: VARNAME
token: /=	lexical unit: DIFFERENT
token: 0	lexical unit: NUMBER
token: do	lexical unit: DO
token: c	lexical unit: VARNAME
token: :=	lexical unit: ASSIGN
token: b	lexical unit: VARNAME
token: ;	lexical unit: SEMICOLON
token: while	lexical unit: WHILE
token: a	lexical unit: VARNAME
token: >=	lexical unit: GREATER_EQUAL
token: b	lexical unit: VARNAME
token: do	lexical unit: DO
token: a	lexical unit: VARNAME
token: :=	lexical unit: ASSIGN
token: a	lexical unit: VARNAME
token: -	lexical unit: MINUS
token: b	lexical unit: VARNAME
token: endwhile	lexical unit: ENDWHILE
token: ;	lexical unit: SEMICOLON
token: b	lexical unit: VARNAME
token: :=	lexical unit: ASSIGN
token: a	lexical unit: VARNAME
token: ;	lexical unit: SEMICOLON
token: a	lexical unit: VARNAME
token: :=	lexical unit: ASSIGN
token: c	lexical unit: VARNAME
token: endwhile	lexical unit: ENDWHILE
token: ;	lexical unit: SEMICOLON
token: print	lexical unit: PRINT
token: (	lexical unit: LEFT_PARENTHESIS
token: a	lexical unit: VARNAME
token: )	lexical unit: RIGHT_PARENTHESIS
token: end	lexical unit: END

Identifiers
a	4
b	5
c	7
